Symbol,Security,GICS Sector,GICS Sub-Industry,Yahoo_Symbol
MMM,3M,Industrials,Industrial Conglomerates,MMM
AOS,A. O. Smith,Industrials,Building Products,AOS
ABT,Abbott Laboratories,Health Care,Health Care Equipment,ABT
ABBV,AbbVie,Health Care,Biotechnology,ABBV
ACN,Accenture,Information Technology,IT Consulting & Other Services,ACN
ADBE,Adobe Inc.,Information Technology,Application Software,ADBE
AMD,Advanced Micro Devices,Information Technology,Semiconductors,AMD
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,AES
AFL,Aflac,Financials,Life & Health Insurance,AFL
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,A
APD,Air Products,Materials,Industrial Gases,APD
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",ABNB
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,AKAM
ALB,Albemarle Corporation,Materials,Specialty Chemicals,ALB
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,ARE
ALGN,Align Technology,Health Care,Health Care Supplies,ALGN
ALLE,Allegion,Industrials,Building Products,ALLE
LNT,Alliant Energy,Utilities,Electric Utilities,LNT
ALL,Allstate,Financials,Property & Casualty Insurance,ALL
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,GOOGL
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,GOOG
MO,Altria,Consumer Staples,Tobacco,MO
AMZN,Amazon,Consumer Discretionary,Broadline Retail,AMZN
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,AMCR
AEE,Ameren,Utilities,Multi-Utilities,AEE
AEP,American Electric Power,Utilities,Electric Utilities,AEP
AXP,American Express,Financials,Consumer Finance,AXP
AIG,American International Group,Financials,Multi-line Insurance,AIG
AMT,American Tower,Real Estate,Telecom Tower REITs,AMT
AWK,American Water Works,Utilities,Water Utilities,AWK
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,AMP
AME,Ametek,Industrials,Electrical Components & Equipment,AME
AMGN,Amgen,Health Care,Biotechnology,AMGN
APH,Amphenol,Information Technology,Electronic Components,APH
ADI,Analog Devices,Information Technology,Semiconductors,ADI
AON,Aon plc,Financials,Insurance Brokers,AON
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,APA
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,APO
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",AAPL
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,AMAT
APP,AppLovin,Communication Services,Advertising,APP
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,APTV
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,ACGL
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,ADM
ARES,Ares Management,Financials,Asset Management & Custody Banks,ARES
ANET,Arista Networks,Information Technology,Communications Equipment,ANET
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,AJG
AIZ,Assurant,Financials,Multi-line Insurance,AIZ
T,AT&T,Communication Services,Integrated Telecommunication Services,T
ATO,Atmos Energy,Utilities,Gas Utilities,ATO
ADSK,Autodesk,Information Technology,Application Software,ADSK
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,ADP
AZO,AutoZone,Consumer Discretionary,Automotive Retail,AZO
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,AVY
AXON,Axon Enterprise,Industrials,Aerospace & Defense,AXON
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,BKR
